Asignaturas;(195111C) MATEMÁTICA DISCRETA;(1811151) ARQUITECTURA DE COMPUTADORES I;(195111B) INTRODUCCIÓN A LOS COMPUTADORES;(1951118) METODOLOGÍA DE LA PROGRAMACIÓN I;(1951116) ANÁLISIS MATEMÁTICO;(1951115) ÁLGEBRA Y ESTRUCTURAS DISCRETAS;(1811153) MODELOS DE INTELIGENCIA ARTIFICIAL;(19611L4) PROGRAMACIÓN CONCURRENTE;(1811141) INGENIERÍA DEL SOFTWARE II;(1951129) REDES DE COMPUTADORES;(1951126) SISTEMAS OPERATIVOS I;(1811143) INTELIGENCIA ARTIFICIAL E INGENIERÍA DEL CONOCIMIENTO;(1951125) TEORÍA DE ALGORÍTMOS;(1811145) TRANSMISIÓN DE DATOS Y REDES DE COMPUTADORES I;(1951121) BASES DE DATOS;(1951122) ESTRUCTURA DE LOS COMPUTADORES;(1951123) INGENIERÍA DEL SOFTWARE I;(1961133) INSTRODUCCIÓN AL DISEÑO DE COMPUTADORES;(195111F) FUNDAMENTOS TECNOLÓGICOS DE LOS COMPUTADORES;(1961131) REDES;(19611F1) AUDITORÍA INFORMÁTICA;(19511I1) TÉCNICAS DE MODELIZACIÓN DE SISTEMAS;(19611G1) GESTIÓN DE SISTEMAS INFORMÁTICOS;(19611G8) NUEVAS TECNOLOGÍAS DE LA PROGRAMACIÓN;(19611G7) MODELOS DE LA INTELIGENCIA ARTIFICIAL;(19511H9) SISTEMAS MULTIMEDIA;(19511H3) SEGURIDAD Y PROTECCIÓN DE SISTEMAS INFORMÁTICOS;(2961114) FUNDAMENTOS DEL SOFTWARE;(1811115) FUNDAMENTOS FÍSICOS DE LA INFORMÁTICA;(2961115) FUNDAMENTOS DE PROGRAMACIÓN;(1811116) ÁLGEBRA Y ESTRUCTURAS FINITAS;(2961112) CÁLCULO;(2961113) FUNDAMENTOS FÍSICOS Y TECNOLÓGICOS;(2211134) TRANSMISIÓN DE DATOS Y REDES DE COMPUTADORES;(18111B5) DISEÑO Y CONTROL DE MODELOS;(2211135) SISTEMAS DE CONMUTACIÓN;(2211132) ELECTRÓNICA DE POTENCIA;(2211133) SISTEMAS ELECTRÓNICOS DIGITALES;(18111B1) DISEÑO ASISTIDO POR COMPUTADORA;(18111B2) DISÑO AUTOMÁTICO DE SISTEMAS DIGITALES;(19611H7) SISTEMAS INFORMÁTICOS DISTRIBUIDOS;(181111C) MATEMÁTICA DISCRETA;(2211131) COMUNICACIONES II;(181111B) INTRODUCCIÓN A LOS COMPUTADORES;(18111A7) CONTROLADORES LÓGICOS PROGRAMABLES;(19511G5) LENGUAJES DE PROGRAMACIÓN;(19511G2) INFORMÁTICA DOCUMENTAL;(2961111) ALGEBRA LINEAL Y ESTRUCTURAS MATEMÁTICAS;(19511G9) OFIMÁTICA;(1811119) METODOLOGÍA DE LA PROGRAMACIÓN I;(1811117) ANÁLISIS MATEMÁTICO;(2961123) SISTEMAS OPERATIVOS;(2961124) SISTEMAS CONCURRENTES Y DISTRIBUIDOS;(2961125) ESTRUCTURAS DE COMPUTADORES;(18111A5) CÁLCULO AVANZADO;(2211121) TEORÍA DE LA COMUNICACIÓN;(18111A6) CÁLCULO SIMBÓLICO;(2211122) TRANSMISIÓN DE ONDAS;(2211123) SISTEMAS TELEMÁTICOS;(2211124) FUNDAMENTOS DE PROGRAMACIÓN;(18111A1) ALGORÍTMICA;(19611I2) TECNOLOGÍA DE CIRCUITOS DE CONMUTACIÓN;(19511F5) DISEÑO DE INTERFACES DE USUARIO;(2961122) ESTRUCTURA DE DATOS;(19511F7) ENTORNOS DE DESARROLLO DE SOFTWARE;(2961121) PROGRAMACIÓN Y DISEÑO ORIENTADO A OBJETOS;(1811133) INGENIERÍA DEL SOFTWARE I;(1811131) DESCRIPCIÓN DE LENGUAJES DE PROGRAMACIÓN;(1811132) PROGRAMACIÓN DECLARATIVA;(2961134) FUNDAMENTOS DE REDES;(18111D1) RECONOCIMIENTO DE FORMAS;(2961135) INGENIERÍA DE SERVIDORES;(18111D3) SEMÁNTICA DE LENGUAJES Y PROGRAMACIÓN;(2211114) FUNDAMENTOS DE INFORMÁTICA;(18111D5) SISTEMAS DE CONTROL DIGITAL;(2211115) INGENIERÍA, EMPRESA Y SOCIEDAD;(18111D6) SISTEMAS DE INFORMACIÓN;(2211112) ÁLGEBRA LINEAL Y GEOMETRÍA;(2211113) ANÁLISIS DE CIRCUITOS;(1951132) CONTABILIDAD;(18111D8) TEORÍA DE SEÑAL Y DE LA COMUNICACIÓN (virtual);(18111D9) VISIÓN ARTIFICIAL;(2211111) ANÁLISIS MATEMÁTICO;(18111C9) PROGRAMACIÓN DISTIRBUIDA Y PARALELA;(2961133) INFORMÁTICA GRÁFICA;(2961132) DISEÑO Y DESARROLLO DE SISTEMAS DE INFORMACIÓN;(2961131) MODELOS DE COMPUTACIÓN;(196111D) INTRODUCCIÓN A LOS COMPUTADORES;(196111C) MATEMÁTICA DISCRETA;(196111A) METODOLOGÍA DE LA PROGRAMACIÓN I;(1811121) BASES DE DATOS I;(1811122) ESTRUCTURA DE LOS COMPUTADORES I;(1811123) TEORÍA DE ALGORÍTMOS;(1811124) SISTEMAS OPERATIVOS I;(1811125) MODELOS DE COMPUTACIÓN I;(18111C3) LÓGICA INFORMÁTICA;(18111C1) INGENIERÍA DEL CONOCIMIENTO: AMPLIACIÓN;(1961117) ÁLGEBRA Y ESTRUCTURAS DISCRETAS;(1961118) ANÁLISIS MATEMÁTICO;(18111C8) PROGRAMACIÓN DIRIGIDA A OBJETOS;(1961116) FUNDAMENTOS FÍSICOS DE LA INFORMÁTICA;(181112A) TECNOLOGÍA DE LOS COMPUTADORES II;(18111B8) IMPLEMENTACIÓN HARDWARE DE ALGORITMOS
(195111C) MATEMÁTICA DISCRETA;0;0;0;1;12;7;0;0;0;3;7;0;14;0;8;7;8;0;5;0;0;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(1811151) ARQUITECTURA DE COMPUTADORES I;0;0;0;0;0;0;83;0;34;0;0;45;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;4;0;0;0;19;11;0;2;0;0;16;0;0;0;0;3;3;0;0;0;2;0;6;0;0;0;18;0;0;0;0;0;0;3;2;0;17;0;1;0;3;0;33;0;0;0;11;5;0;10;0;0;0;0;0;0;3;0;25;4;3;0;12;0;0;2;0;2;2
(195111B) INTRODUCCIÓN A LOS COMPUTADORES;0;0;0;2;1;1;0;0;0;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(1951118) METODOLOGÍA DE LA PROGRAMACIÓN I;1;0;2;0;6;2;0;0;0;2;7;0;7;0;3;5;6;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(1951116) ANÁLISIS MATEMÁTICO;12;0;1;6;0;10;0;0;0;5;17;0;24;0;11;9;13;0;7;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;3;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(1951115) ÁLGEBRA Y ESTRUCTURAS DISCRETAS;7;0;1;2;10;0;0;0;0;4;10;0;14;0;12;7;8;0;3;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(1811153) MODELOS DE INTELIGENCIA ARTIFICIAL;0;83;0;0;0;0;0;0;30;0;0;43;0;54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;3;0;0;0;18;11;0;1;0;0;18;0;0;0;0;2;2;0;0;0;4;0;6;0;0;0;14;0;0;0;0;0;1;2;1;0;19;0;2;0;3;0;28;0;0;0;10;2;0;8;0;0;0;0;0;0;2;0;13;3;3;0;9;0;0;2;0;2;0
(19611L4) PROGRAMACIÓN CONCURRENTE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(1811141) INGENIERÍA DEL SOFTWARE II;0;34;0;0;0;0;30;0;0;0;0;76;0;85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;35;2;0;0;0;0;26;0;0;0;0;2;5;0;0;0;2;0;2;0;0;0;34;0;0;0;0;0;1;7;3;0;3;0;1;0;5;0;14;0;0;0;4;16;0;15;0;0;0;0;0;0;8;2;23;9;8;0;3;0;0;3;0;4;0
(1951129) REDES DE COMPUTADORES;3;0;0;2;5;4;0;0;0;0;11;0;14;0;9;6;7;0;3;0;0;0;0;0;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(1951126) SISTEMAS OPERATIVOS I;7;0;1;7;17;10;0;0;0;11;0;0;36;0;26;24;29;0;5;0;0;4;0;0;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(1811143) INTELIGENCIA ARTIFICIAL E INGENIERÍA DEL CONOCIMIENTO;0;45;0;0;0;0;43;0;76;0;0;0;0;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;0;0;0;40;3;0;1;0;0;29;0;0;0;0;5;5;0;1;0;3;0;1;0;0;0;38;0;0;0;0;0;1;9;5;0;3;0;3;0;6;0;26;0;0;0;11;14;0;17;1;1;0;0;0;0;7;2;31;11;10;1;1;0;0;3;0;2;2
